"text","id"
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",49
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",50
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",51
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",52
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",53
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",54
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",55
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",56
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",57
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",58
"RT @effortfuleduktr: Best drawing ever of @CaptainAmerica.  Don’t @ me. https://t.co/iq7rqstM21",59
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",60
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",61
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",62
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",63
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",64
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",65
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",66
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",67
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",68
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",69
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",70
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/…",71
