"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweets","isRetweet","retweeted","longitude","latitude","hashtag","url","username","z","tweetid"
"My god I just realized it was December 16th today!!! 

<e2><80><9c>Mission Report: December 16th 1991<e2><80><9d>
<ed><a0><bd><ed><b8><ad><ed><a0><bd><ed><b8><ad><ed><a0><bd><ed><b8><ad><e2><80><a6> https://t.co/wABskpUAzX",FALSE,0,NA,2017-12-17 06:06:24,TRUE,NA,"942274762708889600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4d_tea",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/4d_tea/status/942274762708889600","4d_tea",1,1
"New post: #getthismanashield #marvel #marvelcomics #Awesome #avengers #mcu #ironman #captainamerica https://t.co/rWlFXcTZnt",FALSE,0,NA,2017-12-08 19:06:50,FALSE,NA,"939209674569715717",NA,"<a href=""http://paritycheck.co.uk"" rel=""nofollow"">paritycheck</a>","5th_ghostbuster",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/5th_ghostbuster/status/939209674569715717","5th_ghostbuster",1,2
"@LEJ_Airport you may recognize the setting from #CaptainAmericaCivilWar during the Spider-Man, Falcon, Winter Soldi<e2><80><a6> https://t.co/vc1HwK0miP",FALSE,0,"LEJ_Airport",2017-12-17 17:17:59,TRUE,NA,"942443769835741184","495841294","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","albertblog",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/albertblog/status/942443769835741184","albertblog",1,3
"@GraceRandolph and it STILL gives me goosebumps! #marvel #CaptainAmericaCivilWar #TeamIronMan #love #Xmas<e2><80><a6> https://t.co/j1csy3cHgS",FALSE,0,"GraceRandolph",2017-12-12 14:31:36,TRUE,NA,"940589958494027776","16541021","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexbram12",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/alexbram12/status/940589958494027776","alexbram12",1,4
"@SpiderManMovie @Marvel IT CONTINUES! #IronMan3 : Tony references Y2K as 20 years ago. Plus the 8 years later from<e2><80><a6> https://t.co/IT3xX5o1gC",FALSE,0,"Ames0413",2017-12-12 04:17:16,TRUE,"905279806878699521","940435357409206272","27662571","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ames0413",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/Ames0413/status/940435357409206272","Ames0413",1,5
"ME: So @RobertDowneyJr has a great scene as Tony in #IronMan's 45th minute.

@theta1138: I HATE<e2><80><a6> https://t.co/0YsXthb30L",FALSE,1,NA,2017-12-11 11:23:26,TRUE,NA,"940180220417540096",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AndrewHusband",1,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/AndrewHusband/status/940180220417540096","AndrewHusband",1,6
"Everything is awful but you can always count on #IronMan's Phil Coulson and @theta1138's hate for<e2><80><a6> https://t.co/kuozGgtGLK",FALSE,1,NA,2017-12-11 15:47:11,TRUE,NA,"940246594254983168",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AndrewHusband",1,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/AndrewHusband/status/940246594254983168","AndrewHusband",1,7
"I officially hate this fucking movie, what it stands for and everything it did to all the characters. Like, fuck yo<e2><80><a6> https://t.co/BIMulEJ9bT",FALSE,3,NA,2017-12-11 22:28:14,TRUE,NA,"940347519082647553",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AndryPresh",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/AndryPresh/status/940347519082647553","AndryPresh",1,8
"COULSON WOULD BE SO FUCKING DISAPPOINTED, I can't believe y'all gon go and disappoint Coulson!<e2><80><a6> https://t.co/uXncIswsAu",FALSE,1,NA,2017-12-11 22:30:27,TRUE,NA,"940348078040723457",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AndryPresh",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/AndryPresh/status/940348078040723457","AndryPresh",1,9
"Watching #CaptainAmericaCivilWar because... https://t.co/H1ezEP45S3",FALSE,0,NA,2017-12-17 03:31:30,FALSE,NA,"942235781573246976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ashleywarhol",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/ashleywarhol/status/942235781573246976","ashleywarhol",1,10
"#CaptainAmericaCivilWar surprised me. This was a hell of a movie, by now my favorite Marvel's movie <ed><a0><bd><ed><b8><8d>",FALSE,1,NA,2017-12-17 16:46:21,FALSE,NA,"942435809495576577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","babyara",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/babyara/status/942435809495576577","babyara",1,11
"Really though... Steve&amp;Bucky won my heart <e2><9d><a4><ef><b8><8f> #stucky #CaptainAmericaCivilWar",FALSE,1,NA,2017-12-17 16:47:34,FALSE,NA,"942436118443720705",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","babyara",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/babyara/status/942436118443720705","babyara",1,12
"Today's the day <ed><a0><bd><ed><b8><ad> #captainamericacivilwar https://t.co/l1eQ83CN2C",FALSE,0,NA,2017-12-16 14:29:38,FALSE,NA,"942039017641660417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baum_diggidy",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/baum_diggidy/status/942039017641660417","baum_diggidy",1,13
"#MNSen: Now That #Minnesota Sen. #AlFranken Is Gone, Who Would Want To Replace Him? Let The #MNDem/#DFL Games Begin<e2><80><a6> https://t.co/JjSLb4ZjWA",FALSE,0,NA,2017-12-08 19:05:09,TRUE,NA,"939209249606991874",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BigGator5",1,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/BigGator5/status/939209249606991874","BigGator5",1,14
"Try this Maroon Scarlet Witch Coat with Vest from #CaptainAmericaCivilWar!
Link: https://t.co/PZkzvcgh6C https://t.co/Woyf2wOIUm",FALSE,0,NA,2017-12-16 11:50:00,FALSE,NA,"941998845139079169",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","black_leather_j",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/black_leather_j/status/941998845139079169","black_leather_j",1,15
"Since it's December 16
#CaptainAmericaCivilWar https://t.co/Wg1MtJv5Rf",FALSE,1,NA,2017-12-16 17:07:53,FALSE,NA,"942078840851050497",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Blizzard_Eli",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/Blizzard_Eli/status/942078840851050497","Blizzard_Eli",1,16
"Captain America: Civil War (2016) - Read 848 Movie Reviews 
Link: https://t.co/iGWFST642F 
#CaptainAmericaCivilWar",FALSE,0,NA,2017-12-10 07:41:13,FALSE,NA,"939761907027861506",NA,"<a href=""https://www.cinafilm.com/"" rel=""nofollow"">Cinafilm</a>","cinafilm",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/cinafilm/status/939761907027861506","cinafilm",1,17
"Captain America: Civil War (2016) - Read 850 Movie Reviews 
Link: https://t.co/iGWFST642F 
#CaptainAmericaCivilWar",FALSE,0,NA,2017-12-14 07:51:04,FALSE,NA,"941213938208952320",NA,"<a href=""https://www.cinafilm.com/"" rel=""nofollow"">Cinafilm</a>","cinafilm",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/cinafilm/status/941213938208952320","cinafilm",1,18
"Captain America: Civil War (2016) - Read 852 Movie Reviews 
Link: https://t.co/iGWFST642F 
#CaptainAmericaCivilWar",FALSE,0,NA,2017-12-18 08:01:04,FALSE,NA,"942666007218356224",NA,"<a href=""https://www.cinafilm.com/"" rel=""nofollow"">Cinafilm</a>","cinafilm",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/cinafilm/status/942666007218356224","cinafilm",1,19
"#ForSale: A COMPLETE Set of #CaptainAmericaCivilWar Prelude from #MarvelComics! #ComicBooks #MCU #CaptainAmerica<e2><80><a6> https://t.co/Rvt6Z8FchT",FALSE,0,NA,2017-12-17 18:48:41,TRUE,NA,"942466598560034816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","comicsrogue7",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/comicsrogue7/status/942466598560034816","comicsrogue7",1,20
"Time to watch #CaptainAmericaCivilWar because it's December 16th... https://t.co/pEv3O6CSg7",FALSE,7,NA,2017-12-16 20:49:22,FALSE,NA,"942134578302525440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","curiousjoi",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/curiousjoi/status/942134578302525440","curiousjoi",1,21
"Did you know that the same composer that did the music for #CaptainAmericaCivilWar also composed the movie for<e2><80><a6> https://t.co/0X2b0foCKQ",FALSE,12,NA,2017-12-16 23:06:25,TRUE,NA,"942169070329241601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","curiousjoi",1,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/curiousjoi/status/942169070329241601","curiousjoi",1,22
"There is no fucking way Peter Parker didn't know these were called ""walkers"" in #CaptainAmericaCivilWar. #StarWars<e2><80><a6> https://t.co/bFfh9MyK9d",FALSE,0,"dgrivera",2017-12-12 01:18:21,TRUE,"940389898661646337","940390333862604800","63363532","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dgrivera",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/dgrivera/status/940390333862604800","dgrivera",1,23
"MISSION REPORT: DECEMBER 16, 1991 #CaptainAmericaCivilWar",FALSE,1,NA,2017-12-16 14:11:06,FALSE,NA,"942034351646298112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DigiRanger1994",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/DigiRanger1994/status/942034351646298112","DigiRanger1994",1,24
"Mission report December 16, 1991. #CaptainAmericaCivilWar",FALSE,0,NA,2017-12-17 02:37:56,FALSE,NA,"942222299452895232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EldredDValley",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/EldredDValley/status/942222299452895232","EldredDValley",1,25
"#Funko Pop #Marvel: #CaptainAmericaCivilWar  Set of 9 Vinyl Figures https://t.co/kqULncMxh5 https://t.co/rvzqO1P0oA",FALSE,0,NA,2017-12-08 16:09:37,FALSE,NA,"939165076724043778",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","eljuguetedemoda",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/eljuguetedemoda/status/939165076724043778","eljuguetedemoda",1,26
"#Funko Pop #Marvel: #CaptainAmericaCivilWar  Set of 9 Vinyl Figures https://t.co/kqULncMxh5 https://t.co/cNQ7SnOG0I",FALSE,0,NA,2017-12-09 16:10:00,FALSE,NA,"939527558839853056",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","eljuguetedemoda",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/eljuguetedemoda/status/939527558839853056","eljuguetedemoda",1,27
"#Funko Pop #Marvel: #CaptainAmericaCivilWar  Set of 9 Vinyl Figures https://t.co/kqULncMxh5 https://t.co/nc9seOuFJk",FALSE,0,NA,2017-12-11 00:10:37,FALSE,NA,"940010899661869061",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","eljuguetedemoda",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/eljuguetedemoda/status/940010899661869061","eljuguetedemoda",1,28
"#Funko Pop #Marvel: #CaptainAmericaCivilWar  Set of 9 Vinyl Figures https://t.co/kqULncMxh5 https://t.co/WWA5Dhu19o",FALSE,0,NA,2017-12-12 08:08:20,FALSE,NA,"940493509332750336",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","eljuguetedemoda",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/eljuguetedemoda/status/940493509332750336","eljuguetedemoda",1,29
"#Funko Pop #Marvel: #CaptainAmericaCivilWar  Set of 9 Vinyl Figures https://t.co/kqULncMxh5 https://t.co/0wwX9jxblY",FALSE,1,NA,2017-12-13 10:08:30,FALSE,NA,"940886136343408640",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","eljuguetedemoda",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/eljuguetedemoda/status/940886136343408640","eljuguetedemoda",1,30
"#Funko Pop #Marvel: #CaptainAmericaCivilWar  Set of 9 Vinyl Figures https://t.co/kqULncMxh5 https://t.co/Te9yWBFSIf",FALSE,0,NA,2017-12-15 22:08:49,FALSE,NA,"941792184684240898",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","eljuguetedemoda",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/eljuguetedemoda/status/941792184684240898","eljuguetedemoda",1,31
"#Funko Pop #Marvel: #CaptainAmericaCivilWar  Set of 9 Vinyl Figures https://t.co/kqULncMxh5 https://t.co/eHXR96wvd2",FALSE,0,NA,2017-12-18 00:09:49,FALSE,NA,"942547413050503168",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","eljuguetedemoda",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/eljuguetedemoda/status/942547413050503168","eljuguetedemoda",1,32
"War machine,scarlet witch, and iron man <ed><a0><bd><ed><b8><82><ed><a0><bd><ed><b8><82><ed><a0><bd><ed><b8><82>

#captainamericacivilwar https://t.co/ouRNxffWAz",FALSE,0,NA,2017-12-10 12:51:00,FALSE,NA,"939839868544352256",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","EllicecEsor1988",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/EllicecEsor1988/status/939839868544352256","EllicecEsor1988",1,33
"Watch Captain America: Civil War (2016) on Flixano
Start Free Trial: https://t.co/jH3d5aPhl5
#CaptainAmericaCivilWar https://t.co/qnvSQWehWO",FALSE,0,NA,2017-12-16 05:54:20,FALSE,NA,"941909335822815232",NA,"<a href=""https://www.flixano.com/"" rel=""nofollow"">Flixano Movie Show</a>","FlixanoMovies",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/FlixanoMovies/status/941909335822815232","FlixanoMovies",1,34
"Tony Stark &amp; Dr. Strange
#infinitywar #thanos #guardiansofthegalaxy #blackpanther #captainamericacivilwar<e2><80><a6> https://t.co/mkU83WVAD8",FALSE,0,NA,2017-12-09 18:15:55,TRUE,NA,"939559249830694912",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","GuayaCaliente",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/GuayaCaliente/status/939559249830694912","GuayaCaliente",1,35
"Watching @CaptainAmerica Civil War because, you know, December 16, 1991. @ChrisEvans #CaptainAmerica<e2><80><a6> https://t.co/r5sjArAqeZ",FALSE,0,NA,2017-12-17 01:36:55,TRUE,NA,"942206942314926080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HanBrenner",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/HanBrenner/status/942206942314926080","HanBrenner",1,36
"December 16th, 1991... #CaptainAmericaCivilWar https://t.co/wgUvsCFsVZ",FALSE,0,NA,2017-12-16 23:28:31,FALSE,NA,"942174629745053697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HeroicFashion",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/HeroicFashion/status/942174629745053697","HeroicFashion",1,37
"""Mission report: December 16th, 1991...""
-
#Bucky #BuckyBarnes #Marvel #SebStan #SebastianStan #cosplay #crossplay<e2><80><a6> https://t.co/vIZC0HQX7m",FALSE,6,NA,2017-12-16 21:14:35,TRUE,NA,"942140925379252225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","holloh",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/holloh/status/942140925379252225","holloh",1,38
"Hurt people hurt people #CaptainAmericaCivilWar moral of the story",FALSE,0,NA,2017-12-10 18:14:53,FALSE,NA,"939921374172319744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Iamnaturalhoney",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/Iamnaturalhoney/status/939921374172319744","Iamnaturalhoney",1,39
"Today is December 16! 
#CaptainAmericaCivilWar https://t.co/22pVekTc8S",FALSE,0,NA,2017-12-16 18:31:50,FALSE,NA,"942099968424210432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","imakryptonian",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/imakryptonian/status/942099968424210432","imakryptonian",1,40
"It is 100% @midnightflowerx <e2><80><99>s fault I<e2><80><99>m watching #CaptainAmericaCivilWar right now",FALSE,1,NA,2017-12-10 03:31:52,FALSE,NA,"939699158176358400",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","jeda121",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/jeda121/status/939699158176358400","jeda121",1,41
"Ooh #CaptainAmericaCivilWar time cos #Bucky. #AlwaysTeamBucky https://t.co/J7OX2EAOTe",FALSE,0,NA,2017-12-17 23:17:04,FALSE,NA,"942534135800909824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JemHayden695422",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/JemHayden695422/status/942534135800909824","JemHayden695422",1,42
"Today is a national holiday. #CaptainAmericaCivilWar https://t.co/K4SOTs0EWH",FALSE,36,NA,2017-12-16 14:06:25,FALSE,NA,"942033176125419520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JoshThomas1994",14,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/JoshThomas1994/status/942033176125419520","JoshThomas1994",1,43
"I feel like the avengers could have avoided a civil war if they had a better PR manager #CaptainAmericaCivilWar",FALSE,1,NA,2017-12-09 16:37:03,FALSE,NA,"939534368309170176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jrbianconi",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/jrbianconi/status/939534368309170176","jrbianconi",1,44
"What makes #CaptainAmericaCivilWar even better is seeing Zemo as @DCComics infiltrating @Marvel trying to take down<e2><80><a6> https://t.co/42PNla5tYp",FALSE,0,NA,2017-12-13 18:39:37,TRUE,NA,"941014762921562113",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","karljuhlke",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/karljuhlke/status/941014762921562113","karljuhlke",1,45
"MISSION REPORT: DECEMBER 16, 1991 
#rip #CaptainAmericaCivilWar https://t.co/FvQiVqLsxZ",FALSE,3,NA,2017-12-16 23:37:58,FALSE,NA,"942177010356539392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","katlovesfilm",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/katlovesfilm/status/942177010356539392","katlovesfilm",1,46
"Mission Report: December 16th, 1991.
<e2><80><a2>     <e2><80><a2>     <e2><80><a2>
#CaptainAmericaCivilWar #WinterSoldier #December16 #TonyStark<e2><80><a6> https://t.co/CANkgANW73",FALSE,1,NA,2017-12-17 00:43:44,TRUE,NA,"942193559305949184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kengy_x",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/Kengy_x/status/942193559305949184","Kengy_x",1,47
"Guess what day it is. #Missionreport #CaptainAmericaCivilWar #Marvel https://t.co/mD9PFQFmtR",FALSE,0,NA,2017-12-17 00:29:23,FALSE,NA,"942189946961457152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kevito920",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/kevito920/status/942189946961457152","kevito920",1,48
"""This continuation in the unfolding #Avengers saga suffers from superhero fatigue with too many costumes vying for<e2><80><a6> https://t.co/UYhfjZnSRw",FALSE,0,NA,2017-12-18 16:59:00,TRUE,NA,"942801382221889536",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","KFMovieGuide",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/KFMovieGuide/status/942801382221889536","KFMovieGuide",1,49
"I'm watching #CaptainAmericaCivilWar. The CGI looks nice, but they could've done a bit more on the actual physics, as it's 'off'.",FALSE,0,NA,2017-12-17 19:05:48,FALSE,NA,"942470903174238209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LaughingPsycho",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/LaughingPsycho/status/942470903174238209","LaughingPsycho",1,50
"Check out #CROSSBONES Suit Up MARVEL #CaptainAmericaCivilWar  Bi-Fold #Wallet NEW #Marvel #Bifold https://t.co/trvLF5gV70 via @eBay",FALSE,0,NA,2017-12-12 15:14:30,FALSE,NA,"940600757132431366",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Lucy_Mors",0,FALSE,FALSE,NA,NA,"CaptainAmericaCivilWar","https://twitter.com/Lucy_Mors/status/940600757132431366","Lucy_Mors",1,51
