"word","freq"
"marvel",611
"favorite",302
"assemble",298
"gifts",294
"goodies",294
"holiday",294
"season",294
"shops",294
"boy",116
"premiere",113
"theactorinvited",111
"infinitywar",107
"upcominginstallment",107
"made",44
"right",41
"find",40
"theaters",37
"choice",35
"sure",35
"captainamericacivilwar",31
"teamcap",30
"stand",27
"cap",27
"america",26
"get",26
"like",25
"tweetme",23
"captain",22
"amp",22
"need",20
"captainamerica",19
"know",18
"will",18
"digital",16
"special",16
"movie",15
"war",15
"bluray",14
"today",14
"son",14
"faces",14
"looking",14
"awesome",13
"avengers",12
"marvels",12
"bucky",12
"crushed",12
"geekingout",12
"inwe",12
"metalappendages",12
"mutual",12
"sebastianstan",12
"talk",12
"childrens",12
"forward",12
"hospitalsvisits",12
"meethes",12
"putting",12
"smiles",12
"tomorrow",12
"new",11
"one",11
"keaton",11
"hope",10
"make",10
"thing",10
"cant",10
"fan",10
"little",10
"time",10
"thank",10
"child",10
"gift",10
"first",10
"proud",9
"nowplaying",9
"good",9
"cool",8
"american",8
"easy",8
"omfg",8
"dont",8
"visits",8
"thats",8
"lol",8
"red",8
"tbt",8
"december",8
"makes",8
"akawrapping",8
"breaking",8
"korycki",8
"back",8
"doesnt",8
"mcu",8
"love",7
"steve",7
"check",7
"team",7
"hero",7
"needs",7
"soldier",6
"man",6
"burger",6
"cookin",6
"may",6
"rec",6
"thofjuly",6
"youll",6
"movies",6
"huge",6
"wolverine",6
"showing",6
"nice",6
"civilwar",6
"last",6
"forces",6
"jumped",6
"onto",6
"skulls",6
"took",6
"train",6
"please",6
"beyondskyline",6
"starring",6
"personally",6
"see",6
"avenger",6
"look",6
"iron",6
"bullies",6
"kids",6
"bullying",6
"bullied",6
"young",6
"halloweeni",5
"best",5
"byget",5
"radioapp",5
"vibefm",5
"day",5
"lighter",5
"side",5
"yes",5
"sorry",5
"always",5
"true",5
"life",5
"punisher",4
"drawing",4
"ofdontme",4
"didnt",4
"nah",4
"really",4
"toys",4
"many",4
"seen",4
"still",4
"wear",4
"gear",4
"thanks",4
"watch",4
"super",4
"bylisten",4
"also",4
"theres",4
"youre",4
"role",4
"profile",4
"meet",4
"going",4
"buckybarnes",4
"thwintersoldier",4
"avengersinfinitywarim",4
"avengersinfinitywartrailer",4
"hyped",4
"views",4
"wonder",4
"watchingcivil",4
"ago",4
"stark",4
"mission",4
"report",4
"call",4
"home",4
"agentcarter",4
"crying",4
"answer",4
"tell",4
"frankgrillois",4
"washingtondc",4
"looks",4
"liberty",4
"thatis",4
"amazing",4
"real",4
"cgi",4
"person",4
"character",4
"plays",4
"take",4
"fantastic",4
"kill",4
"xmen",4
"trying",4
"ass",4
"army",4
"steverogers",4
"cancel",4
"might",4
"film",4
"kid",4
"big",4
"recent",4
"gather",4
"happythanksgiving",4
"round",4
"winter",4
"stopbullying",4
"antman",4
"helmet",4
"heroes",4
"replicas",4
"addition",4
"latestwas",4
"onin",4
"perfect",4
"voted",4
"corner",4
"racism",4
"zero",4
"strong",4
"link",3
"official",3
"great",3
"quote",3
"think",3
"without",3
"teamironman",3
"blooper",3
"language",3
"reel",3
"warning",3
"put",3
"wait",3
"jessie",3
"lucid",3
"newdrawing",3
"surrealisminfinitywar",3
"pretty",3
"fictional",3
"four",3
"loves",3
"spot",3
"learned",3
"avengersinfinitywar",3
"friends",3
"black",3
"bad",3
"way",3
