"text","id"
"RT @bigpattyp2nd: @AFKrueger I'm the political party destroyer. @Avengers sign me up",115
"@AFKrueger I'm the political party destroyer. @Avengers sign me up",116
"@JonSchnepp @MarvelStudios @FantasticFour @XMenMovies @BurnettRM @enthusiamy @DisneyStudios @Avengers @Collider… https://t.co/EXI7XFOWCA",117
"I challenge the @Avengers to take a picture of them eating vegetables in their superhero gear to show kids that eat… https://t.co/e4BL5dKnTu",118
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",119
"RT @Avengers: Thank you to the best fans in the universe for making Marvel Studios' ""Avengers: #InfinityWar"" the most viewed trailer of all…",120
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",121
"RT @MarkRuffalo: Excited to launch this limited edition tee with my fellow @Avengers to support @SolutionsProj. Get or give yours: https://…",122
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",123
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",124
"RT @Marvel: “There was an idea…” 
Marvel Studios' ""@Avengers: #InfinityWar"" in theaters May 4. https://t.co/ll7LllUFaV",125
"RT @MarvelStudios: “There was an idea…"" @Avengers: #InfinityWar. In theaters May 4. https://t.co/vJTbkwPgbQ",126
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",127
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",128
"RT @Marvel: “There was an idea…” 
Marvel Studios' ""@Avengers: #InfinityWar"" in theaters May 4. https://t.co/ll7LllUFaV",129
"RT @Marvel: “There was an idea…” 
Marvel Studios' ""@Avengers: #InfinityWar"" in theaters May 4. https://t.co/ll7LllUFaV",130
"RT @Marvel: “There was an idea…” 
Marvel Studios' ""@Avengers: #InfinityWar"" in theaters May 4. https://t.co/ll7LllUFaV",131
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",132
"RT @MarvelStudios: “There was an idea…"" @Avengers: #InfinityWar. In theaters May 4. https://t.co/vJTbkwPgbQ",133
"RT @MarvelStudios: “There was an idea…"" @Avengers: #InfinityWar. In theaters May 4. https://t.co/vJTbkwPgbQ",134
"RT @Marvel: “There was an idea…” 
Marvel Studios' ""@Avengers: #InfinityWar"" in theaters May 4. https://t.co/ll7LllUFaV",135
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",136
"RT @GMA: The first trailer for @Avengers: #InfinityWar https://t.co/nC0LffUC0d",137
"RT @angelycordy: Good Morning! A happy week for James Spader fans! James Spader in @Avengers #Ultron #TheAvengers ❤️❤️❤️❤️ https://t.co/U3m…",138
"@adamhlavac @Avengers @El_Santotaco @Hectorisfunny @jurassicalien @MrJayWashington @TheViciousfool @ShyGuyExpress… https://t.co/sVV9Ft1qRc",139
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",140
"RT @MarvelStudios: Thank you to the best fans in the universe for making @Avengers #InfinityWar the most viewed trailer of all time with 23…",141
"RT @Avengers: .@DisneyCruise debuts Marvel Day at Sea on select NYC cruises this fall. Watch as Stan Lee makes the call! Info: https://t.co…",142
"RT @Avengers: You’re worthy of these Mjolnir Candy Apples – now make them yourself! Get the recipe here: https://t.co/anH66SWHDy #ThorRagna…",143
"RT @Avengers: Will they make it? Watch Hulk and Black Widow race against time in the Marvel &amp; @OriginalFunko​ animated short, ""Tick Tick Sm…",144
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",145
"RT @angelycordy: Good Morning! A happy week for James Spader fans! James Spader in @Avengers #Ultron #TheAvengers ❤️❤️❤️❤️ https://t.co/U3m…",146
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",147
"@Avengers Check this out: https://t.co/ieeUSUSwUQ",148
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",149
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",150
"RT @MarkRuffalo: Excited to launch this limited edition tee with my fellow @Avengers to support @SolutionsProj. Get or give yours: https://…",151
"RT @MarvelStudios: Thank you to the best fans in the universe for making @Avengers #InfinityWar the most viewed trailer of all time with 23…",152
"RT @MarvelStudios: “There was an idea…"" @Avengers: #InfinityWar. In theaters May 4. https://t.co/vJTbkwPgbQ",153
"RT @MarkRuffalo: Excited to launch this limited edition tee with my fellow @Avengers to support @SolutionsProj. Get or give yours: https://…",154
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",155
"@minakimes @HQonESPN Of COURSE your no Warlock....You have the ability to manipulate chaos magic! @Marvel @Avengers… https://t.co/BOmrBNn2AM",156
"RT @MarvelStudios: “There was an idea…"" @Avengers: #InfinityWar. In theaters May 4. https://t.co/vJTbkwPgbQ",157
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",158
"RT @Marvel: “There was an idea…” 
Marvel Studios' ""@Avengers: #InfinityWar"" in theaters May 4. https://t.co/ll7LllUFaV",159
"RT @MarvelStudios: “There was an idea…"" @Avengers: #InfinityWar. In theaters May 4. https://t.co/vJTbkwPgbQ",160
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",161
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",162
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",163
"@El_Santotaco @adamhlavac @Avengers @Hectorisfunny @jurassicalien @MrJayWashington @TheViciousfool @ShyGuyExpress… https://t.co/H8ffkn73r3",164
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",165
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",166
"RT @angelycordy: James Spader in @Avengers Thor's hammer! #Ultron #TheAvengers ❤️❤️❤️❤️ https://t.co/pIPCxUu2KM",167
"Joe Buck: “Welcome back to the game as the @Avengers lead the @dallascowboys 31-14 at Stark Stadium. Speaking of To… https://t.co/kHCqGBa9Sv",168
"RT @GMA: The first trailer for @Avengers: #InfinityWar https://t.co/nC0LffUC0d",169
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",170
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",171
"@Avengers Cam Newton as T’Challa... https://t.co/zM8aneOlcy",172
"The @Avengers need you https://t.co/zne07FOSmN",173
"OR team name change to @Avengers and use each game to promote latest movie in series. Can’t lose either way. https://t.co/vsehUI6FRl",174
"RT @MarvelStudios: Thank you to the best fans in the universe for making @Avengers #InfinityWar the most viewed trailer of all time with 23…",175
"@adamhlavac @Avengers @El_Santotaco @Hectorisfunny @jurassicalien @MrJayWashington @TheViciousfool @ShyGuyExpress @Hyper_RPG Congrats!!!!!",176
