"word","freq"
"thorragnarok",195
"thor",103
"best",103
"one",102
"find",95
"boy",94
"home",94
"consideration",93
"bad",92
"colorado",91
"tour",91
"marvels",85
"onthirdfilm",84
"teamthorragnarok",84
"voted",84
"get",83
"tickets",79
"ragnarok",77
"movie",74
"see",64
"marvel",58
"watch",48
"helaween",41
"loki",40
"box",39
"time",38
"office",38
"comic",35
"little",34
"book",34
"happy",34
"third",34
"becomes",33
"biggest",33
"domestic",33
"passesmillion",32
"happyhalloween",31
"ofht",31
"like",27
"excellent",27
"combining",26
"theaters",25
"ceratopsianmedusaceratops",25
"lokii",25
"phylogenetics",25
"reevaluation",25
"research",25
"dmod",24
"looks",23
"main",21
"think",20
"event",20
"finally",20
"love",19
"look",19
"favorite",18
"trailer",18
"korg",18
"studios",17
"hela",17
"mjolnir",16
"right",16
"will",15
"last",15
"great",15
"art",15
"brandnew",14
"debuted",14
"hall",14
"sdcc",14
"ampanimated",14
"face",14
"misc",14
"short",14
"sibling",14
"sparring",14
"taika",14
"film",14
"need",14
"youre",14
"make",12
"movies",12
"know",12
"new",12
"concept",12
"thisragnarok",12
"threatening",12
"waititis",12
"awesome",11
"want",11
"hulk",11
"big",11
"send",10
"please",10
"ive",10
"never",9
"good",9
"year",9
"still",9
"tonight",9
"nice",9
"talk",9
"stands",9
"total",9
"really",9
"arrived",9
"designed",9
"myandragnarok",9
"pins",9
"reading",9
"watched",8
"fun",8
"well",8
"funny",8
"come",8
"character",8
"adventureget",8
"done",8
"watching",8
"amazing",8
"take",8
"amp",8
"cant",8
"wait",8
"whos",8
"grossed",8
"power",8
"special",8
"brothers",8
"weekendget",7
"wanted",7
"seen",7
"review",7
"way",7
"november",7
"dont",7
"lucky",7
"moment",7
"thorragnaroksee",7
"thorragnarokboxoffice",7
"true",7
"date",7
"days",7
"god",6
"sure",6
"loved",6
"better",6
"made",6
"chris",6
"lokiodinson",6
"saw",6
"song",6
"comics",6
"hammer",6
"day",5
"call",5
"long",5
"wish",5
"music",5
"kevin",5
"thats",5
"definitely",5
"hemsworth",5
"lokilaufeyson",5
"cast",5
"super",5
"late",5
"immigrant",5
"dude",5
"perfect",5
"playing",5
"back",5
"hilarious",5
"stop",5
"using",5
"finished",4
"theater",4
"mark",4
"films",4
"exclusive",4
"funko",4
"screener",4
"damn",4
"bill",4
"fromamp",4
"haveballadofleftybrowns",4
"pullman",4
"wwe",4
"scene",4
"smith",4
"man",4
"far",4
"copy",4
"something",4
"award",4
"sawragnarok",4
"expectations",4
"behind",4
"dvd",4
"old",4
"waiting",4
"coming",4
"may",4
"wonder",4
"always",4
"maybe",4
"looking",4
"night",4
"liked",4
"click",4
"estimated",4
"ready",4
"thorsdaywhat",4
"themovie",4
"first",4
"worthy",4
"woman",4
"mischief",4
"withthorragnarok",4
"avengers",4
"team",4
"action",4
"let",4
"two",4
"herepodcastmafia",4
"timereview",4
"captioning",4
"coffee",4
"studio",4
"thanking",4
"withand",4
"battle",4
"many",4
"watchedand",4
"work",3
"loga",3
"jealous",3
"wont",3
"yet",3
"pretty",3
"star",3
"ass",3
"live",3
"black",3
"early",3
"teaser",3
"play",3
"heart",3
"joke",3
"vote",3
"role",3
"week",3
"house",3
"bluray",3
"comedy",3
"knew",3
"feel",3
"son",3
"must",3
"borrow",3
"hey",3
"kev",3
"help",3
"didnt",3
"actoris",3
"encapsulatelatest",3
"example",3
"fragrance",3
"masculinity",3
"world",3
"story",3
"weekendday",3
"happythanksgiving",3
"carvinght",3
"pumpkin",3
"spirit",3
"thorragnarokinspired",3
"watchandget",3
"theres",3
"beautiful",3
"yeah",3
"video",3
"thorsday",3
"officialsong",3
"people",3
"yes",3
"fav",3
"probably",3
"different",3
"yesterday",3
"times",3
"chance",3
"thing",3
"poder",3
"calling",3
"free",3
"theirtakeover",3
"reviewed",3
"cute",3
"miek",3
"returni",3
"toy",3
"congratulations",3
"pop",3
"thanks",3
"post",3
"making",3
"broke",3
"meet",3
"revengers",3
"blindboxes",3
"channel",3
"ourepisode",3
"subscribe",3
"toyquest",3
"youtube",3
"poster",3
"thank",3
"weekend",3
"second",3
