"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweets","isRetweet","retweeted","longitude","latitude","hashtag","url","username","z","tweetid"
"ok so the #infinitywar trailer have a hundred and three million views in just two weeks CAN YOU BELIEVE IT the whol<e2><80><a6> https://t.co/9F9Caboy2w",FALSE,1,NA,2017-12-17 08:47:18,TRUE,NA,"942315254364508160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ageek_",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/_ageek_/status/942315254364508160","_ageek_",1,1
"@lordknowsmedia Here's an interesting Fan Theory About Avenger Infinity war.Share it with Your Friends. #InfinityWar https://t.co/cIeZiYvVAq",FALSE,0,"lordknowsmedia",2017-12-18 10:26:05,FALSE,NA,"942702499198255104","923964098022326272","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","_ajaymalik_",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/_ajaymalik_/status/942702499198255104","_ajaymalik_",1,2
"Waiting only #InfinityWar 
#Marvel #Avengers #AvengersInfinityWar #Film #Movie #2k18 #Awesome #Thanos #USA #Pic<e2><80><a6> https://t.co/QzoSLyKNu7",FALSE,1,NA,2017-12-17 05:04:17,TRUE,NA,"942259129288216576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_alesso13",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/_alesso13/status/942259129288216576","_alesso13",1,3
"Check out my awesome design project on @TeePublic! https://t.co/1ClvnlFKtP #infinitywar #thanos #mcu #comics<e2><80><a6> https://t.co/QkLEwyyc0b",FALSE,0,NA,2017-12-16 23:00:32,TRUE,NA,"942167589219962880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_AndreusD_",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/_AndreusD_/status/942167589219962880","_AndreusD_",1,4
"""Infinity Gear"" now available at all AndreusD tee shops!

#infinitywar #thanos #mcu #avengers<e2><80><a6> https://t.co/WYbcFkmsGX",FALSE,1,NA,2017-12-17 10:52:02,FALSE,NA,"942346642535190528",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","_AndreusD_",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/_AndreusD_/status/942346642535190528","_AndreusD_",1,5
"Catch the Run JMMC Podcast now! Ep. 2 is up! #RunJMMC #MCU #DCEU #InfinityWar #Avengers #JusticeLeague

https://t.co/xglPB0NZhi",FALSE,1,NA,2017-12-17 18:18:29,FALSE,NA,"942458997499510784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_michaelarce",2,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/_michaelarce/status/942458997499510784","_michaelarce",1,6
"Yes Ned!! #InfinityWar https://t.co/YmQFmBtDBG",FALSE,0,NA,2017-12-17 12:37:22,FALSE,NA,"942373151786356736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ShaunGiles",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/_ShaunGiles/status/942373151786356736","_ShaunGiles",1,7
"Oh the Nova Corps is gonna get fucked up. #InfinityWar #Marvel https://t.co/Yl4xD4s6T8",FALSE,0,NA,2017-12-18 16:52:05,FALSE,NA,"942799642445656065",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","3BlackGeeks",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/3BlackGeeks/status/942799642445656065","3BlackGeeks",1,8
"<e2><9c><8c><e2><9c><8c> New #Spiderman - #Hoodies  SPIDER MAN ZIP UP HOODIES <ed><a0><bd><ed><b8><8d>. #limited <ed><a0><bd><ed><b2><a3>#Stock <e2><8f><b0>#freeshipping <ed><a0><bd><ed><ba><a2> #worldwide<ed><a0><bc><ed><bc><8d>Tag Your<e2><80><a6> https://t.co/JQqulROSrf",FALSE,0,NA,2017-12-16 18:31:16,TRUE,NA,"942099826510061568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4animegears",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/4animegears/status/942099826510061568","4animegears",1,9
"<e2><9c><8c><e2><9c><8c> New #Spiderman_Hoodies SPIDER MAN ZIP UP HOODIES <ed><a0><bd><ed><b8><8d>#limited <ed><a0><bd><ed><b2><a3>#Stock <e2><8f><b0>#freeshipping<ed><a0><bd><ed><ba><a2> #worldwide<ed><a0><bc><ed><bc><8d>Tag Your #friends<e2><80><a6> https://t.co/BmlKOmfDtG",FALSE,0,NA,2017-12-16 18:42:48,TRUE,NA,"942102729010360326",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4animegears",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/4animegears/status/942102729010360326","4animegears",1,10
"THE #SUPERIOR SPIDER .New #Spiderman_Hoodies ZIP UP hoodies <ed><a0><bd><ed><b8><8d>#limited<ed><a0><bd><ed><b2><a3>#Stock<e2><8f><b0>#freeshipping<ed><a0><bd><ed><ba><a2> #worldwide<ed><a0><bc><ed><bc><8d>Tag Your<e2><80><a6> https://t.co/rt9vGFZ6Zs",FALSE,0,NA,2017-12-16 18:53:57,TRUE,NA,"942105536341991425",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4animegears",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/4animegears/status/942105536341991425","4animegears",1,11
"#Spider-MAN .New #Spiderman Hoodies 3D ZIP UP hoodies<ed><a0><bd><ed><b8><8d>#limited<ed><a0><bd><ed><b2><a3>#Stock<e2><8f><b0>#freeshipping<ed><a0><bd><ed><ba><a2> #worldwide<ed><a0><bc><ed><bc><8d>Tag Your #friends <ed><a0><bd><ed><b1><ac><e2><80><a6> https://t.co/uJlTri459o",FALSE,0,NA,2017-12-16 19:01:13,TRUE,NA,"942107361002614784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4animegears",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/4animegears/status/942107361002614784","4animegears",1,12
"#SCARLET SPIDER KAINE PARKER- ZIP UP HOODIE-3D #limited<ed><a0><bd><ed><b2><a3>#Stock<e2><8f><b0>#freeshipping<ed><a0><bd><ed><ba><a2> #worldwide<ed><a0><bc><ed><bc><8d>Tag Your #friends <ed><a0><bd><ed><b1><ac>
Get Yo<e2><80><a6> https://t.co/2jsLk0Ga4z",FALSE,0,NA,2017-12-16 19:06:06,TRUE,NA,"942108592324399106",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4animegears",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/4animegears/status/942108592324399106","4animegears",1,13
"#Deadpool WHITE ZIP UP HOODIE #BLOODY 3D HOODIES 
#limited <ed><a0><bd><ed><b2><a3>#Stock <e2><8f><b0>#freeshipping <ed><a0><bd><ed><ba><a2> #worldwide<ed><a0><bc><ed><bc><8d>Tag Your #friends <ed><a0><bd><ed><b1><ac><e2><80><a6> https://t.co/ShZl2uX098",FALSE,0,NA,2017-12-16 20:03:28,TRUE,NA,"942123029219434496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4animegears",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/4animegears/status/942123029219434496","4animegears",1,14
"@austinnotduncan Deadpool in infinity war 2? Probable? #InfinityWar #DisneyFoxDeal",FALSE,0,"austinnotduncan",2017-12-16 00:41:33,FALSE,"940289950792130560","941830624016400384","59023203","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","4bhinav3081",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/4bhinav3081/status/941830624016400384","4bhinav3081",1,15
"<e2><80><9c>@IAM_SHAKESPEARE: To the possession of thy royal hand.<e2><80><9d> @Marvel #InfinityWar is coming next year.",FALSE,0,"IAM_SHAKESPEARE",2017-12-16 14:02:20,FALSE,"941865486169657345","942032147757649920","64119853","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","6thgradersrule",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/6thgradersrule/status/942032147757649920","6thgradersrule",1,16
"follow me please!! im new to twitter #marvel #marvelfan #avengers #infinitywar",FALSE,1,NA,2017-12-16 23:45:07,FALSE,NA,"942178807804583936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aaavengers",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/aaavengers/status/942178807804583936","aaavengers",1,17
"#InfinityWar Trailer Lego version 
https://t.co/i3lQtrximr",FALSE,2,NA,2017-12-16 02:48:36,FALSE,NA,"941862594628927489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AbiDhonifan",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/AbiDhonifan/status/941862594628927489","AbiDhonifan",1,18
"<e2><9c><a8> 141 days <e2><9c><a8>
#InfinityWar",FALSE,0,"acklestilxs",2017-12-16 05:20:41,FALSE,"935899059121991680","941900867418099712","2429504581","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","acklestilxs",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/acklestilxs/status/941900867418099712","acklestilxs",1,19
"<e2><9c><a8> 140 days <e2><9c><a8>
#InfinityWar",FALSE,0,"acklestilxs",2017-12-17 04:42:29,FALSE,"935899059121991680","942253645520867328","2429504581","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","acklestilxs",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/acklestilxs/status/942253645520867328","acklestilxs",1,20
"<e2><9c><a8> 139 days <e2><9c><a8> 
#InfinityWar",FALSE,0,"acklestilxs",2017-12-18 05:04:38,FALSE,"935899059121991680","942621606979014656","2429504581","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","acklestilxs",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/acklestilxs/status/942621606979014656","acklestilxs",1,21
"<e2><9c><a8> 138 days <e2><9c><a8>
#InfinityWar",FALSE,0,"acklestilxs",2017-12-19 03:58:53,FALSE,"935899059121991680","942967444943130624","2429504581","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","acklestilxs",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/acklestilxs/status/942967444943130624","acklestilxs",1,22
"I wish they showed the #InfinityWar trailer in my viewing yesterday. Would have loved to see it in @IMAX. Got #BlackPanther instead tho.",FALSE,0,NA,2017-12-17 19:36:40,FALSE,NA,"942478670513475585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ActuallyAmir",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/ActuallyAmir/status/942478670513475585","ActuallyAmir",1,23
"Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet<e2><80><a6> https://t.co/rw08Wur8jL",FALSE,149,NA,2017-12-18 21:12:52,TRUE,NA,"942865269818408960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","adamhlavac",20,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/adamhlavac/status/942865269818408960","adamhlavac",1,24
"So the #InfinityWar trailer was the last trailer to be shown before #TheLastJedi started and everyone clapped at th<e2><80><a6> https://t.co/rXyejpqJD1",FALSE,5,NA,2017-12-16 13:50:22,TRUE,NA,"942029133218971648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adriantarheel",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/adriantarheel/status/942029133218971648","adriantarheel",1,25
"@XisThatKid let's hope Disney redeems themselves with #InfinityWar.",FALSE,1,"XisThatKid",2017-12-18 21:03:41,FALSE,"942758060761763840","942862956601249799","148631601","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AdsButt123",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/AdsButt123/status/942862956601249799","AdsButt123",1,26
"Avengers Infinity War (Poster)
.
.
.
#marvel #avengersinfinitywar #infinitywar #mcu #avengers<e2><80><a6> https://t.co/nKT5zfwbsJ",FALSE,1,NA,2017-12-18 05:12:25,FALSE,NA,"942623562828996608",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","agf_minifigs",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/agf_minifigs/status/942623562828996608","agf_minifigs",1,27
"I think Black Widow looks so hot with blonde hair #InfinityWar https://t.co/NtyqAcA7Os",FALSE,2,NA,2017-12-16 03:09:35,FALSE,NA,"941867876692234240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AidenRulez03",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/AidenRulez03/status/941867876692234240","AidenRulez03",1,28
"I can't wait to see what Spider-Man has in store with the Iron Spider in #InfinityWar https://t.co/hL7Dq0lH4w",FALSE,1,NA,2017-12-16 03:12:41,FALSE,NA,"941868654731431936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AidenRulez03",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/AidenRulez03/status/941868654731431936","AidenRulez03",1,29
"What do you guys think of bearded Captain America in #InfinityWar https://t.co/xlqEey2U1V",FALSE,0,NA,2017-12-16 03:18:24,FALSE,NA,"941870094992527360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AidenRulez03",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/AidenRulez03/status/941870094992527360","AidenRulez03",1,30
"I predict this is how #InfinityWar will look like in #LEGOMarvel2 #InfinityWar https://t.co/VlRSMOjD0C",FALSE,0,NA,2017-12-16 03:44:24,FALSE,NA,"941876636571578369",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AidenRulez03",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/AidenRulez03/status/941876636571578369","AidenRulez03",1,31
"Seeing the Guardians of the Galaxy at the end of the #InfinityWar trailer was my favorite part of the trailer<e2><80><a6> https://t.co/q5Pp5BSJZM",FALSE,0,NA,2017-12-16 03:49:06,TRUE,NA,"941877821101789184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AidenRulez03",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/AidenRulez03/status/941877821101789184","AidenRulez03",1,32
"I can't wait to see what Teenage Groot has in store for #InfinityWar #IamGroot https://t.co/yPMMSHrZjN",FALSE,0,NA,2017-12-18 14:37:24,FALSE,NA,"942765746068828162",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AidenRulez03",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/AidenRulez03/status/942765746068828162","AidenRulez03",1,33
"I watched the #InfinityWarTrailer at least almost 20 times I think, but the thing is every time you watch it, it ju<e2><80><a6> https://t.co/8YbBPXsyLf",FALSE,2,NA,2017-12-18 14:41:31,TRUE,NA,"942766784817623040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AidenRulez03",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/AidenRulez03/status/942766784817623040","AidenRulez03",1,34
"""How do we do this?"" - #BlackWidow #Falcon 
""As a team!"" - #CaptainAmerica @AnthonyMackie @ChrisEvans<e2><80><a6> https://t.co/XSNrjV5BVU",FALSE,3,NA,2017-12-16 15:52:16,TRUE,NA,"942059813671878656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ajdesigns0220",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/ajdesigns0220/status/942059813671878656","ajdesigns0220",1,35
"In this world there are 
-Idiots
-Stupids
And
- People who call it Avengers 4 instead of Infinity Wars 
#InfinityWar #AvengersInfinityWar",FALSE,1,NA,2017-12-16 05:08:16,FALSE,NA,"941897745240956929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ajith_Chandran_",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/Ajith_Chandran_/status/941897745240956929","Ajith_Chandran_",1,36
"@chrishemsworth @TheRealStanLee  
Well now this is an unexpected plot twist xD 
#Marvel  #InfinityWar https://t.co/ayN9Sp4AXP",FALSE,0,"chrishemsworth",2017-12-17 04:53:09,FALSE,NA,"942256326402490368","3063032281","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ajith_Chandran_",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/Ajith_Chandran_/status/942256326402490368","Ajith_Chandran_",1,37
"Check BIO for the LINK for FULL VIDEO!!!!
#avengersassemble #avengers3 #infinitywar<e2><80><a6> https://t.co/lOwUP1muxa",FALSE,2,NA,2017-12-15 21:19:35,FALSE,NA,"941779795368660994",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AkBreaksIt",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/AkBreaksIt/status/941779795368660994","AkBreaksIt",1,38
"That cinema ticket is 50% worth #TheLastJedi and the other half is seeing the #InfinityWar trailer on thebig screen",FALSE,0,NA,2017-12-17 12:55:53,FALSE,NA,"942377812408745984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alex_sees",0,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/alex_sees/status/942377812408745984","alex_sees",1,39
"I see no difference.

#InfinityWar https://t.co/cmiDdOLtXB",FALSE,2,NA,2017-12-16 04:13:57,FALSE,NA,"941884075194720257",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alfredpoprock",5,FALSE,FALSE,NA,NA,"InfinityWar","https://twitter.com/alfredpoprock/status/941884075194720257","alfredpoprock",1,40
