"name","dens","count","rank","xsize","ysize"
"alarm clock",10.5,6,6,6.66,6.66
"bomb",10.5,6,8,6.66,6.66
"earth globe europe-africa",10.5,6,9,6.66,6.66
"face with tears of joy",22.8,13,2,6.66,6.66
"heart with ribbon",12.3,7,4,6.66,6.66
"heavy black heart",14,8,3,6.66,6.66
"ship",10.5,6,5,6.66,6.66
"smiling face with heart-shaped eyes",33.3,19,1,6.66,6.66
"sparkles",8.8,5,10,6.66,6.66
"two hearts",10.5,6,7,6.66,6.66
